node_id,contain_callback_ids,utilization,highest_priority
0,0-2,0.057499999999999996,3
1,1,0.20125,2
2,3,0.027500000000000004,4
3,4,0.22999999999999998,5
4,5,0.11374999999999999,6
5,6,0.231,7
6,7,0.079,8
7,8,0.142,9
8,9,0.179,10
9,10,0.20600000000000002,11
10,11,0.179,12
11,12,0.066,13
12,13,0.010624999999999999,14
13,14,0.06875,15
14,15,0.041249999999999995,16
15,16,0.049375,17
16,17,0.0017,18
17,18,0.19590000000000002,19
18,19,0.27666666666666667,20
19,20,0.018333333333333333,21
20,21,0.27666666666666667,22
21,22,0.055,23
22,23,0.27666666666666667,24
23,24,0.055,25
24,25,0.27666666666666667,26
25,26,0.014166666666666666,27
26,27,0.27666666666666667,28
27,28,0.018333333333333333,29
28,29,0.27666666666666667,30
29,30,0.018333333333333333,31